mos,fr
Ra rɩ ye.,Ne mange pas.
A raa kut-weefo.,Il a acheté un vélo.
A Musa ra tʋmdame.,Moussa travaillait.
"A ra rata ka waoong, la a ka tõog ye.",Il voulait venir ici mais il n'a pas pu le faire.
"Ra-beoog wẽk-f, la yʋʋm-beoog ra vẽk-f ye !","Que ton jour de peines se lève mais que ton année de peines ne se lève pas ! (proverbe: on ne peut pas vivre sans connaître des difficultés mais, chacun souhaite trouver rapidement les solutions à ses problèmes.)"
Wilgd-f yẽbg tɩ f bas n get ra-koɛɛnga.,On te montre un crocodile et tu regardes le bois sec. (proverbe indiquant que parfois il est difficile de faire comprendre quelque chose à certaines personnes)
"Ned sã n dɩ n tɩge, lengr lebga ra-peoko.","Quand quelqu'un est rassasié, l'écuelle devient telle une écorce (ou une planche). Proverbe: il s'agit de quelqu'un qui se montre ingrat pour le service rendu qui pourtant aurait dû être reconnaissant pour le bienfait qu'il a reçu.)"
"F ra-taag sã n ko ki n paam, bɩ f pẽg-a tɩ pa a yoor n ko ye.","Si ton rival fait des bonnes récoltes, il faut le féliciter parce que ce n'est pas son pénis qui a cultivé. (proverbe: nous devons dépasser les rivalités entre personnes pour être objectifs et reconnaître sans condition le mérite de nos semblables et de nos adversaires)"
"Yɩbrg yeelame tɩ ra-vɩʋʋg (bɩ sẽk) kae n pãbd pag ye, raar fãa yaa raaga.","Le charognard dit qu'il n'y a pas de jour libre pour battre la femme; tous les jours, il y a un marché. (Proverbe: quand on est occupé, il y a des choses qu'on ne peut pas faire.)"
Yam ka meng paasda ra-wẽndlem. / Pa nong m meng paasda ra-wẽndlem.,"N'être pas fier de soi-même aggrave la laideur. (Proverbe: chacun doit être fier de sa personne, qu'il soit beau ou laid.)"
Ra-wẽng rooda a ma roogẽ sãana.,L'homme laid fait la cour à l'étrangère de sa mère. (Proverbe: chacun doit profiter des opportunités qui se présentent à lui.)
Mam na n kula ra-yɩta.,Je rentrerai après demain.
A geta ninã raa.,Il regarde quelqu'un d'un regard vide.
Zĩig maag tɩ m da nemd raada kõbre.,"Qui attend que l'ardeur du soleil s’apaise pour qu'il achète de la viande, paiera un os. (proverbe disant: il est bon d'être patient, cependant l'excès de patience porte préjudice à l'individu. O n doit être patient mais de manière raisonnable)"
A kẽnga raaga.,Elle est allée au marché.
Gãngã-raag wẽedame.,On frappe le grand tambour à voix basse.
Tɩ-raaga.,Arbre mâle.
A raaga koomã yʋʋrẽ.,Elle a versé l'eau dans un canari.
A raanda koomã.,Elle verse l'eau.
"Raar ninga, a na wa beoogo.",Peut-être il viendra demain.
"Zĩrẽ sã n zoe yʋʋm koabga, sɩd yikda raar-n-yɛng n dig-a n yõke.","Si le mensonge met cent ans à courir, la vérité met un seul jour pour le rattraper. (proverbe disant: tout ce qui est bâti sur la base du mensonge finira par s'écrouler.)"
Raya loogda tao-tao.,Les jours passent vite.
Rasem a nu rũndã.,Il y a cinq jours.
"Raar ninga, a na wa beoogo.",Peut-être il viendra demain.
Mam gomdame t'a raasd maam.,J'ai parlé et il me ridiculise.
Fuugã raasem (raab) yɩɩ wãna?,Quel est le prix de l'habit ?
Raasenkam a wata ka.,Chaque jour il vient ici.
Maan dabaar n bels-a t'a wa.,Utilise une ruse pour qu'il vient ici.
A dabda yɛ?,Où va-t-il?
"Kõn yi n bas f ba raboog, yaa sẽn yɩɩd f ba n pa wa.","Si tu refuses de quitter les ruines de la cour de ton père, c'est que plus grand que ton père ne t'y déloge pas. (proverbe›: quel que soit l'attachement à nos habitudes,, il y a des circonstances qui obligent ou qui donnent raison à les abandonner)"
Pʋg-yãangã rabsdame.,La vielle femme marche lentement.
Y waa rabʋre?,Quand êtes-vous arrivés?
Tõnd kẽnga Kʋdgo n kell n tɩ radg n ta Bobo.,Nous sommes allés à Koudougou et nus avons continué jusqu’à Bobo.
A rag n waa ka.,Il était venu ici.
"M sã n dag n bãngẽ, m ka watẽ ye.","Si je savais, je ne serais pas venu."
Tẽngã ragame.,La terre s'est desséchée.
A nugã modame n lebg ragelle.,Son bras s'est enflé et est devenu gros.
A nug-bi modame n lebg ragla.,Ses doigts se sont enflés et sont devenus gros.
A nug-bilã lebga raglemde.,Son doigt est devenu rigide.
"F pʋgdb sã n teem sɩd, bɩ f teem rakɩya.","Si ta tante change de mari, tu dois changer de parent à plaisanterie. (Proverbe, sens: il faut toujours s'adapter aux nouveaux changements dans la vie)"
Rɩk koomã n ralg la f bas wamdã vɩʋʋgo.,Verse l'eau et laisse la calebasse vide.
"Zẽedã noor yaa ralsende, pa noom ye.",La sauce est fade elle n'est pas bonne.
Lingri sãamda raoodo.,"La surprise gâte le courage. (proverbe: on est courageux quand on est averti, ce qui permettra de s'apprêter pour y faire face.)"
Yao-raoogo.,"Petit frère, frère cadet."
